SCENE NAME,LINE TITLE - ENGLISH,LINE TEXT - ENGLISH
lampPostDayOneVisitOne,Möth,Watch your mouth!
lampPostDayOneVisitOne,Möth,"You want to be smart when speaking of the lamp, little mouse."
lampPostDayOneVisitOne,,"music,noone"
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"char_out,Möth"
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"char_in,Möth,sMoth,1"
lampPostDayOneVisitOne,,"char_update,Spook,8"
lampPostDayOneVisitOne,,"delay,1"
lampPostDayOneVisitOne,Möth,They listen.
lampPostDayOneVisitOne,Möth,They know things about you no one else can ever know... 
lampPostDayOneVisitOne,Möth,The bright light that mortals are drawn to before death?
lampPostDayOneVisitOne,Möth,...
lampPostDayOneVisitOne,Möth,"That's the lamp, little mouse."
lampPostDayOneVisitOne,Möth,The lamp will one day reap your soul.
lampPostDayOneVisitOne,Möth,...And
lampPostDayOneVisitOne,Möth,When that day comes?
lampPostDayOneVisitOne,Möth,You are going to wish you respected the lamp some more.
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"music,bgmLompTheme"
lampPostDayOneVisitOne,,"char_out,Möth"
lampPostDayOneVisitOne,,"char_in,Möth,sMoth,0"
lampPostDayOneVisitOne,Möth,My sweet... my love...
lampPostDayOneVisitOne,Spook,...I think I'll get going. 
lampPostDayOneVisitOne,,"music,noone"
lampPostDayOneVisitOne,,map
lampPostDayOneVisitOne,Möth,Pretty... Lamp... Pretty... Lady.
lampPostDayOneVisitOne,,"choice,lampPost2,lampPost3"
lampPostDayOneVisitOne,,"music,noone"
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"char_out,Möth"
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"char_in,Möth,sMoth,1"
lampPostDayOneVisitOne,,"char_update,Spook,8"
lampPostDayOneVisitOne,,"delay,1"
lampPostDayOneVisitOne,Möth,I do not love lamps.
lampPostDayOneVisitOne,Möth,I love MY lamp.
lampPostDayOneVisitOne,Möth,"My lamp, my beloved, my source of light."
lampPostDayOneVisitOne,Möth,She whispers sweet nothings to me all night.
lampPostDayOneVisitOne,Möth,"She would whisper to you, too."
lampPostDayOneVisitOne,Möth,If only you listened.
lampPostDayOneVisitOne,Möth,...
lampPostDayOneVisitOne,Möth,But no one ever listens.
lampPostDayOneVisitOne,Möth,"So she is only mine, my sweet lamp."
lampPostDayOneVisitOne,,"delay,3"
lampPostDayOneVisitOne,,"music,bgmLompTheme"
lampPostDayOneVisitOne,,"char_out,Möth"
lampPostDayOneVisitOne,,"char_in,Möth,sMoth,0"
lampPostDayOneVisitOne,Möth,My love...
lampPostDayOneVisitOne,,"choice,lampPost4"
lampPostDayOneVisitOne,,"music,noone"
lampPostDayOneVisitOne,,map
,,
lampPostDayOneVisitTwo,,"trans_clear,sBackgroundLampPostNightMoth"
